assessment_id,employee_id,skill,proficiency_level,self_rated,manager_rated,assessed_date
ASS000001,EMP0001,Data Analysis,Expert,2,5.0,2026-04-25
ASS000002,EMP0001,Machine Learning,Expert,1,,2026-02-06
ASS000003,EMP0001,Azure,Advanced,3,2.0,2026-04-06
ASS000004,EMP0001,Leadership,Intermediate,3,4.0,2026-04-25
ASS000005,EMP0001,Excel,Beginner,5,4.0,2026-05-05
ASS000006,EMP0001,Communication,Intermediate,3,5.0,2026-05-22
ASS000007,EMP0001,Sales,Beginner,3,,2026-06-08
ASS000008,EMP0002,Communication,Beginner,1,1.0,2025-12-27
ASS000009,EMP0002,Python,Advanced,4,,2025-12-25
ASS000010,EMP0002,Compliance,Expert,2,3.0,2026-05-10
ASS000011,EMP0002,Finance,Beginner,2,2.0,2025-12-11
ASS000012,EMP0003,Sales,Intermediate,2,3.0,2026-04-19
ASS000013,EMP0003,Negotiation,Expert,5,5.0,2026-05-26
ASS000014,EMP0003,Data Analysis,Expert,4,,2026-04-21
ASS000015,EMP0004,SQL,Advanced,5,,2026-04-21
ASS000016,EMP0004,Python,Expert,2,4.0,2026-05-26
ASS000017,EMP0004,Excel,Advanced,3,1.0,2026-04-08
ASS000018,EMP0004,Sales,Intermediate,2,5.0,2026-03-27
ASS000019,EMP0006,Agile,Intermediate,1,4.0,2026-05-20
ASS000020,EMP0006,Power BI,Advanced,1,1.0,2026-04-14
ASS000021,EMP0006,Python,Intermediate,1,,2026-03-01
ASS000022,EMP0006,Communication,Advanced,1,4.0,2026-04-08
ASS000023,EMP0007,Communication,Beginner,4,4.0,2026-02-02
ASS000024,EMP0007,Data Analysis,Beginner,2,,2026-05-12
ASS000025,EMP0007,Azure,Beginner,5,2.0,2026-02-16
ASS000026,EMP0007,Leadership,Intermediate,5,,2026-06-01
ASS000027,EMP0008,Finance,Expert,5,,2026-05-24
ASS000028,EMP0008,Communication,Advanced,2,3.0,2026-01-16
ASS000029,EMP0008,Agile,Expert,3,,2026-04-23
ASS000030,EMP0008,Project Management,Advanced,2,4.0,2026-05-09
ASS000031,EMP0008,SQL,Expert,5,,2026-06-01
ASS000032,EMP0008,Power BI,Beginner,1,2.0,2026-01-23
ASS000033,EMP0008,Compliance,Beginner,4,,2026-04-07
ASS000034,EMP0008,Azure,Beginner,3,4.0,2025-12-28
ASS000035,EMP0009,Leadership,Beginner,4,2.0,2026-05-11
ASS000036,EMP0009,Negotiation,Expert,5,5.0,2025-12-21
ASS000037,EMP0009,Agile,Intermediate,3,2.0,2025-12-14
ASS000038,EMP0009,Machine Learning,Advanced,4,4.0,2026-01-13
ASS000039,EMP0009,Sales,Beginner,4,,2026-05-01
ASS000040,EMP0010,Communication,Advanced,5,,2026-03-25
ASS000041,EMP0010,Negotiation,Beginner,2,3.0,2026-04-18
ASS000042,EMP0010,Python,Expert,4,4.0,2026-06-07
ASS000043,EMP0010,Azure,Intermediate,5,4.0,2026-05-26
ASS000044,EMP0010,Power BI,Advanced,3,,2026-04-15
ASS000045,EMP0010,Compliance,Intermediate,3,3.0,2026-04-22
ASS000046,EMP0012,SQL,Intermediate,4,4.0,2025-12-13
ASS000047,EMP0012,Agile,Intermediate,5,3.0,2026-02-25
ASS000048,EMP0012,Project Management,Expert,4,,2026-01-11
ASS000049,EMP0013,Data Analysis,Intermediate,1,5.0,2025-12-19
ASS000050,EMP0013,Excel,Advanced,4,1.0,2026-05-04
ASS000051,EMP0013,Negotiation,Intermediate,5,3.0,2026-04-14
ASS000052,EMP0013,Power BI,Intermediate,5,2.0,2026-05-15
ASS000053,EMP0013,Azure,Beginner,1,5.0,2026-03-23
ASS000054,EMP0014,SQL,Intermediate,4,3.0,2026-03-27
ASS000055,EMP0014,Power BI,Advanced,2,,2026-03-13
ASS000056,EMP0014,Sales,Intermediate,1,,2026-03-08
ASS000057,EMP0014,Project Management,Beginner,5,,2026-03-27
ASS000058,EMP0015,Excel,Expert,5,2.0,2026-04-12
ASS000059,EMP0015,Compliance,Expert,3,,2026-04-11
ASS000060,EMP0015,Sales,Advanced,3,1.0,2025-12-15
ASS000061,EMP0015,SQL,Advanced,1,,2026-01-02
ASS000062,EMP0015,Communication,Advanced,5,2.0,2026-01-05
ASS000063,EMP0015,Power BI,Expert,2,,2025-12-20
ASS000064,EMP0016,Azure,Expert,2,,2026-02-12
ASS000065,EMP0016,Communication,Beginner,2,5.0,2026-01-25
ASS000066,EMP0016,Python,Beginner,2,2.0,2026-05-30
ASS000067,EMP0017,Excel,Intermediate,5,,2026-04-08
ASS000068,EMP0017,Azure,Beginner,4,2.0,2026-01-04
ASS000069,EMP0017,Project Management,Expert,4,5.0,2026-03-13
ASS000070,EMP0017,Leadership,Advanced,1,,2026-05-27
ASS000071,EMP0017,Compliance,Beginner,3,3.0,2025-12-23
ASS000072,EMP0017,Machine Learning,Beginner,4,,2026-02-25
ASS000073,EMP0017,SQL,Advanced,5,1.0,2026-04-23
ASS000074,EMP0017,Communication,Advanced,3,3.0,2026-03-28
ASS000075,EMP0020,SQL,Beginner,4,2.0,2026-04-03
ASS000076,EMP0020,Leadership,Expert,2,5.0,2026-01-05
ASS000077,EMP0020,Negotiation,Advanced,1,,2025-12-12
ASS000078,EMP0023,Compliance,Expert,1,2.0,2026-01-04
ASS000079,EMP0023,Python,Advanced,2,3.0,2026-01-11
ASS000080,EMP0023,Sales,Intermediate,2,,2026-05-14
ASS000081,EMP0023,Machine Learning,Beginner,3,5.0,2026-01-17
ASS000082,EMP0023,Communication,Expert,4,2.0,2026-02-17
ASS000083,EMP0024,Negotiation,Expert,4,,2026-02-15
ASS000084,EMP0024,Python,Intermediate,5,1.0,2025-12-28
ASS000085,EMP0024,Agile,Beginner,3,3.0,2026-02-11
ASS000086,EMP0024,Finance,Expert,2,5.0,2026-03-28
ASS000087,EMP0024,Excel,Intermediate,4,,2025-12-27
ASS000088,EMP0025,Excel,Advanced,3,5.0,2026-06-02
ASS000089,EMP0025,Data Analysis,Beginner,5,5.0,2026-03-05
ASS000090,EMP0025,Machine Learning,Beginner,3,2.0,2026-01-15
ASS000091,EMP0025,Python,Intermediate,3,3.0,2026-04-24
ASS000092,EMP0025,Azure,Advanced,3,2.0,2025-12-20
ASS000093,EMP0025,Negotiation,Advanced,3,4.0,2026-02-11
ASS000094,EMP0026,Project Management,Expert,5,2.0,2025-12-15
ASS000095,EMP0026,Machine Learning,Advanced,3,2.0,2026-03-07
ASS000096,EMP0026,Compliance,Advanced,3,1.0,2025-12-28
ASS000097,EMP0026,SQL,Expert,1,3.0,2026-03-24
ASS000098,EMP0026,Negotiation,Expert,1,1.0,2026-05-31
ASS000099,EMP0026,Azure,Advanced,2,,2026-05-11
ASS000100,EMP0027,Azure,Expert,1,,2026-03-21
ASS000101,EMP0027,Communication,Intermediate,3,1.0,2026-01-05
ASS000102,EMP0027,Negotiation,Intermediate,1,4.0,2026-02-04
ASS000103,EMP0027,Data Analysis,Expert,1,2.0,2026-05-02
ASS000104,EMP0028,Machine Learning,Expert,1,3.0,2026-04-25
ASS000105,EMP0028,Finance,Expert,1,2.0,2026-01-21
ASS000106,EMP0028,Sales,Expert,5,3.0,2026-05-31
ASS000107,EMP0028,Project Management,Intermediate,5,5.0,2026-05-27
ASS000108,EMP0028,Agile,Expert,5,5.0,2026-05-10
ASS000109,EMP0028,Compliance,Advanced,2,4.0,2026-02-26
ASS000110,EMP0028,Power BI,Intermediate,1,5.0,2025-12-13
ASS000111,EMP0029,Python,Advanced,4,3.0,2026-05-29
ASS000112,EMP0029,Project Management,Advanced,3,,2025-12-19
ASS000113,EMP0029,Azure,Expert,4,2.0,2026-05-04
ASS000114,EMP0029,Compliance,Expert,2,3.0,2026-02-04
ASS000115,EMP0029,Machine Learning,Intermediate,3,3.0,2026-03-31
ASS000116,EMP0029,Excel,Beginner,4,,2026-05-15
ASS000117,EMP0029,Sales,Advanced,2,5.0,2026-01-21
ASS000118,EMP0029,Data Analysis,Advanced,5,4.0,2026-05-18
ASS000119,EMP0030,Negotiation,Expert,5,4.0,2026-02-13
